epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13808,1.36202,1.83679,1.38521,0.70176,0.52705,0.57476,0.34985,1.3694,1.38869,1.36261,0.000476109,0.000476109,0.000476109
2,26465.6,1.34782,1.34879,1.38356,0.74627,0.54947,0.61023,0.36876,1.31561,1.20589,1.35509,0.000905296,0.000905296,0.000905296
3,39007.9,1.31833,1.24912,1.361,0.70579,0.56782,0.61794,0.39244,1.26217,1.11276,1.30943,0.00128733,0.00128733,0.00128733
4,49585.4,1.2731,1.18184,1.3333,0.75488,0.59621,0.66372,0.43061,1.18796,1.01087,1.26054,0.00121679,0.00121679,0.00121679
5,60119.5,1.22339,1.10276,1.30159,0.74822,0.62537,0.67903,0.43931,1.17576,0.95967,1.25346,0.00114606,0.00114606,0.00114606
6,14950.8,1.18939,1.05251,1.2807,0.77307,0.62954,0.69584,0.456,1.13088,0.91924,1.21868,0.00107532,0.00107532,0.00107532
7,28644.5,1.16353,1.01618,1.26726,0.78049,0.64741,0.71048,0.46538,1.12441,0.87473,1.22515,0.00100459,0.00100459,0.00100459
8,42260.7,1.142,0.9685,1.24693,0.78295,0.65796,0.71643,0.4792,1.0976,0.84298,1.19617,0.000933851,0.000933851,0.000933851
9,56595.4,1.11541,0.93687,1.23254,0.80033,0.6665,0.7357,0.49161,1.07801,0.80867,1.17903,0.000863116,0.000863116,0.000863116
10,67474.9,1.08488,0.90505,1.21646,0.81506,0.67791,0.74442,0.50072,1.06657,0.78723,1.17819,0.00079238,0.00079238,0.00079238
11,78190.9,1.06457,0.79983,1.20626,0.80361,0.68528,0.74478,0.5022,1.05363,0.7714,1.17007,0.000721645,0.000721645,0.000721645
12,91363.8,1.04484,0.76032,1.19355,0.82234,0.68545,0.753,0.51252,1.03042,0.74828,1.1581,0.000650909,0.000650909,0.000650909
13,105812,1.01963,0.74183,1.18078,0.82971,0.69808,0.76524,0.52232,1.01906,0.73011,1.14581,0.000580174,0.000580174,0.000580174
14,122897,0.99873,0.71564,1.16729,0.83721,0.70983,0.77779,0.53461,1.00402,0.70836,1.1368,0.000509438,0.000509438,0.000509438
15,136485,0.98075,0.69327,1.1541,0.84178,0.70643,0.77494,0.5357,0.99571,0.69568,1.12698,0.000438703,0.000438703,0.000438703
16,146915,0.95884,0.67351,1.14103,0.83801,0.7183,0.78507,0.54439,0.98346,0.68374,1.12295,0.000367967,0.000367967,0.000367967
17,157114,0.94236,0.65329,1.13054,0.85263,0.72332,0.79193,0.5522,0.97091,0.66585,1.11364,0.000297232,0.000297232,0.000297232
18,167353,0.92815,0.63333,1.11799,0.85908,0.72368,0.79361,0.5529,0.97012,0.65425,1.10494,0.000226497,0.000226497,0.000226497
19,178577,0.91512,0.61719,1.10912,0.85711,0.72903,0.79696,0.5578,0.95909,0.64154,1.09767,0.000155761,0.000155761,0.000155761
20,191304,0.8991,0.60377,1.10242,0.8645,0.7317,0.80041,0.5613,0.95239,0.63359,1.09587,8.50255e-05,8.50255e-05,8.50255e-05
